subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
013	22	73	330	1	0	19	0	0	ff	27	NA	NA
013	22	73	330	1	0	19	0	0	fp	27	NA	NA
013	22	73	330	1	0	19	0	0	rp	27	NA	NA
013	22	73	0	1	0	19	0	0	pr	27	NA	NA
013	22	73	334	1	0	19	0	0	rr	27	NA	NA
013	22	73	664	1	0	19	0	0	tt	27	NA	NA
013	22	73	220	2	19	24	0	0	ff	27	NA	NA
013	22	73	220	2	19	24	0	0	fp	27	NA	NA
013	22	73	220	2	19	24	0	0	rp	27	NA	NA
013	22	73	0	2	19	24	0	0	pr	27	NA	NA
013	22	73	0	2	19	24	0	0	rr	27	NA	NA
013	22	73	220	2	19	24	0	0	tt	27	NA	NA
013	22	73	140	3	24	53	0	0	ff	27	NA	NA
013	22	73	552	3	24	53	0	0	fp	27	NA	NA
013	22	73	886	3	24	53	0	0	rp	27	NA	NA
013	22	73	1	3	24	53	0	0	pr	27	NA	NA
013	22	73	0	3	24	53	0	0	rr	27	NA	NA
013	22	73	552	3	24	53	0	0	tt	27	NA	NA
013	22	93	158	1	0	16	0	0	ff	29	NA	NA
013	22	93	734	1	0	16	0	0	fp	29	NA	NA
013	22	93	734	1	0	16	0	0	rp	29	NA	NA
013	22	93	0	1	0	16	0	0	pr	29	NA	NA
013	22	93	230	1	0	16	0	0	rr	29	NA	NA
013	22	93	964	1	0	16	0	0	tt	29	NA	NA
013	22	93	260	2	16	21	0	0	ff	29	NA	NA
013	22	93	260	2	16	21	0	0	fp	29	NA	NA
013	22	93	260	2	16	21	0	0	rp	29	NA	NA
013	22	93	0	2	16	21	0	0	pr	29	NA	NA
013	22	93	190	2	16	21	0	0	rr	29	NA	NA
013	22	93	450	2	16	21	0	0	tt	29	NA	NA
013	22	93	156	3	21	44	0	0	ff	29	NA	NA
013	22	93	156	3	21	44	0	0	fp	29	NA	NA
013	22	93	1304	3	21	44	0	0	rp	29	NA	NA
013	22	93	1	3	21	44	0	0	pr	29	NA	NA
013	22	93	728	3	21	44	0	0	rr	29	NA	NA
013	22	93	884	3	21	44	0	0	tt	29	NA	NA
013	22	85	326	1	0	18	0	0	ff	31	NA	NA
013	22	85	326	1	0	18	0	0	fp	31	NA	NA
013	22	85	326	1	0	18	0	0	rp	31	NA	NA
013	22	85	0	1	0	18	0	0	pr	31	NA	NA
013	22	85	344	1	0	18	0	0	rr	31	NA	NA
013	22	85	670	1	0	18	0	0	tt	31	NA	NA
013	22	85	176	2	18	25	0	0	ff	31	NA	NA
013	22	85	176	2	18	25	0	0	fp	31	NA	NA
013	22	85	176	2	18	25	0	0	rp	31	NA	NA
013	22	85	0	2	18	25	0	0	pr	31	NA	NA
013	22	85	216	2	18	25	0	0	rr	31	NA	NA
013	22	85	392	2	18	25	0	0	tt	31	NA	NA
013	22	85	238	3	25	45	0	0	ff	31	NA	NA
013	22	85	508	3	25	45	0	0	fp	31	NA	NA
013	22	85	1684	3	25	45	0	0	rp	31	NA	NA
013	22	85	1	3	25	45	0	0	pr	31	NA	NA
013	22	85	616	3	25	45	0	0	rr	31	NA	NA
013	22	85	1124	3	25	45	0	0	tt	31	NA	NA
013	22	81	138	1	0	16	0	0	ff	39	NA	NA
013	22	81	294	1	0	16	0	0	fp	39	NA	NA
013	22	81	294	1	0	16	0	0	rp	39	NA	NA
013	22	81	0	1	0	16	0	0	pr	39	NA	NA
013	22	81	528	1	0	16	0	0	rr	39	NA	NA
013	22	81	822	1	0	16	0	0	tt	39	NA	NA
013	22	81	214	2	16	21	0	0	ff	39	NA	NA
013	22	81	214	2	16	21	0	0	fp	39	NA	NA
013	22	81	214	2	16	21	0	0	rp	39	NA	NA
013	22	81	0	2	16	21	0	0	pr	39	NA	NA
013	22	81	530	2	16	21	0	0	rr	39	NA	NA
013	22	81	744	2	16	21	0	0	tt	39	NA	NA
013	22	81	184	3	21	53	0	0	ff	39	NA	NA
013	22	81	1916	3	21	53	0	0	fp	39	NA	NA
013	22	81	3678	3	21	53	0	0	rp	39	NA	NA
013	22	81	1	3	21	53	0	0	pr	39	NA	NA
013	22	81	704	3	21	53	0	0	rr	39	NA	NA
013	22	81	2620	3	21	53	0	0	tt	39	NA	NA
013	24	95	194	1	0	16	0	0	ff	55	NA	NA
013	24	95	194	1	0	16	0	0	fp	55	NA	NA
013	24	95	194	1	0	16	0	0	rp	55	NA	NA
013	24	95	0	1	0	16	0	0	pr	55	NA	NA
013	24	95	498	1	0	16	0	0	rr	55	NA	NA
013	24	95	692	1	0	16	0	0	tt	55	NA	NA
013	24	95	NA	2	16	21	0	0	ff	55	NA	NA
013	24	95	NA	2	16	21	0	0	fp	55	NA	NA
013	24	95	NA	2	16	21	0	0	rp	55	NA	NA
013	24	95	NA	2	16	21	0	0	pr	55	NA	NA
013	24	95	334	2	16	21	0	0	rr	55	NA	NA
013	24	95	334	2	16	21	0	0	tt	55	NA	NA
013	24	95	210	3	21	41	0	0	ff	55	NA	NA
013	24	95	210	3	21	41	0	0	fp	55	NA	NA
013	24	95	2780	3	21	41	0	0	rp	55	NA	NA
013	24	95	1	3	21	41	0	0	pr	55	NA	NA
013	24	95	1738	3	21	41	0	0	rr	55	NA	NA
013	24	95	1948	3	21	41	0	0	tt	55	NA	NA
013	21	76	142	1	0	18	0	0	ff	57	NA	NA
013	21	76	346	1	0	18	0	0	fp	57	NA	NA
013	21	76	346	1	0	18	0	0	rp	57	NA	NA
013	21	76	0	1	0	18	0	0	pr	57	NA	NA
013	21	76	0	1	0	18	0	0	rr	57	NA	NA
013	21	76	346	1	0	18	0	0	tt	57	NA	NA
013	21	76	NA	2	18	24	0	0	ff	57	NA	NA
013	21	76	NA	2	18	24	0	0	fp	57	NA	NA
013	21	76	NA	2	18	24	0	0	rp	57	NA	NA
013	21	76	NA	2	18	24	0	0	pr	57	NA	NA
013	21	76	NA	2	18	24	0	0	rr	57	NA	NA
013	21	76	NA	2	18	24	0	0	tt	57	NA	NA
013	21	76	220	3	24	60	0	0	ff	57	NA	NA
013	21	76	1114	3	24	60	0	0	fp	57	NA	NA
